Designator,Mid X,Mid Y,Rotation,Layer
R43,77.41,88.58,270.0,top
R44,83.48,88.58,270.0,top
R45,85.0,88.58,270.0,top
R46,91.13,88.58,270.0,top
R47,92.65,88.58,270.0,top
R48,56.19,88.58,270.0,top
R49,57.71,88.58,270.0,top
R5,126.07,62.57,90.0,top
R50,17.025,19.501786,180.0,top
R51,17.075,15.6875,180.0,top
R52,17.03,29.0375,180.0,top
R53,17.025,25.223214,180.0,top
R54,17.025,23.316071,0.0,top
R55,17.025,27.130357,0.0,top
R56,17.08,17.594643,0.0,top
R57,17.025,21.408929,0.0,top
R58,26.41,28.3325,90.0,top
R59,27.92,28.3325,90.0,top
R6,127.67,62.57,270.0,top
R60,22.51,28.3325,90.0,top
R61,24.02,28.3325,90.0,top
R62,22.49,16.4875,270.0,top
R63,24.0,16.49,270.0,top
R64,26.41,16.4875,270.0,top
R65,27.91,16.4875,270.0,top
R66,58.345,25.445,90.0,top
R67,60.895,25.445,90.0,top
R68,63.445,25.445,90.0,top
R69,65.965,25.445,90.0,top
R7,103.49,69.5025,270.0,top
R70,59.057857,38.065,90.0,top
R71,62.009286,38.065,90.0,top
R72,64.960714,38.065,90.0,top
R73,67.912143,38.065,90.0,top
R74,74.78,25.4825,90.0,top
R75,77.33,25.4825,90.0,top
R76,79.88,25.4825,90.0,top
R77,82.4,25.4825,90.0,top
R78,75.492857,38.1025,90.0,top
R79,78.444286,38.1025,90.0,top
R8,41.704,56.08,90.0,top
R80,81.395714,38.1025,90.0,top
R81,84.347143,38.1025,90.0,top
R82,91.205447,25.4825,90.0,top
R83,93.755447,25.4825,90.0,top
R84,96.305447,25.4825,90.0,top
R85,98.825447,25.4825,90.0,top
R86,91.918304,38.1025,90.0,top
R87,94.869733,38.1025,90.0,top
R88,97.821161,38.1025,90.0,top
R89,100.77259,38.1025,90.0,top
R9,130.96,92.41,90.0,top
R90,107.615,25.495,90.0,top
R91,110.165,25.495,90.0,top
R92,112.715,25.495,90.0,top
R93,115.235,25.495,90.0,top
R94,108.327857,38.115,90.0,top
R95,111.279286,38.115,90.0,top
R96,114.230714,38.115,90.0,top
R97,117.182143,38.115,90.0,top
R98,133.75,24.27,180.0,top
R99,133.75,22.75,180.0,top
RV1,126.43,25.5,180.0,top
SW1,89.72,76.445,0.0,top
SW2,78.95,76.05,0.0,top
U1,60.9,62.87,270.0,top
U10,45.38,92.52,270.0,top
U11,76.65,92.52,270.0,top
U12,84.24,92.52,270.0,top
U13,91.89,92.52,270.0,top
U14,56.95,92.52,270.0,top
U15,24.46,22.3925,180.0,top
U16,129.745,45.9125,0.0,top
U17,62.795,31.695,0.0,top
U18,79.23,31.7325,0.0,top
U19,95.655447,31.7325,0.0,top
U2,18.06,85.085,90.0,top
U20,112.065,31.745,0.0,top
U21,137.69,23.51,180.0,top
U22,137.58,15.89,180.0,top
U23,104.96,92.52,270.0,top
U24,20.76,72.4175,0.0,top
U25,125.395,34.215,90.0,top
U3,26.73,56.77,90.0,top
U4,126.54,66.25,180.0,top
U5,131.3725,95.97,180.0,top
U6,24.35,38.705,180.0,top
U7,46.379107,31.7325,0.0,top
U8,30.13,92.52,270.0,top
U9,37.87,92.52,270.0,top
Y1,40.82,63.05,0.0,top
